Season,RANK,NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE
2012 - 2013,633,Craig Adams,PIT,RW,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,633,Dustin Jeffrey,PIT,C,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,633,Jim O`Brien,OTT,C,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,633,Radko Gudas,TBL,D,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,633,Richard Bachman,DAL,G,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,633,Thomas Greiss,SJS,G,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,633,Zach Boychuk,CAR,C,"$625,000 ",1 (2012),"$625,000 "
2012 - 2013,641,Brandon Saad,CHI,LW,"$617,500 ",1 (2012),"$617,500 "
2012 - 2013,642,Dale Weise,VAN,RW,"$615,000 ",1 (2012),"$615,000 "
2012 - 2013,643,Tim Jackman,CGY,RW,"$612,500 ",1 (2012),"$612,500 "
2012 - 2013,644,Brian Strait,NYI,D,"$605,000 ",1 (2012),"$605,000 "
2012 - 2013,644,Tom Sestito,VAN,LW,"$605,000 ",1 (2012),"$605,000 "
2012 - 2013,646,Al Montoya,WPG,G,"$601,000 ",1 (2012),"$601,000 "
2012 - 2013,647,Aaron Palushaj,COL,RW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Aaron Volpatti,WSH,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Andrew Ebbett,VAN,C,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Antoine Roussel,DAL,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Ben Scrivens,TOR,G,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Braden Holtby,WSH,G,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Brian McGrattan,CGY,RW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Bryan Bickell,CHI,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Dana Tyrell,TBL,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Drayson Bowman,CAR,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Eric Fehr,WSH,RW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Harry Zolnierczyk,ANA,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Jamal Mayers,CHI,RW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Jay Pandolfo,BOS,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,John Scott,BUF,D,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Lane MacDermid,DAL,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Mark Fraser,TOR,D,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Mark Letestu,CBJ,C,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Matt Martin,NYI,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Radek Martinek,NYI,D,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Ryan Hamilton,TOR,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Ryan Reaves,STL,RW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Steve Pinizzotto,VAN,C,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Tom Pyatt,TBL,C,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Tomas Kundratek,WSH,D,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Tyson Strachan,FLA,D,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,647,Wojtek Wolski,WSH,LW,"$600,000 ",1 (2012),"$600,000 "
2012 - 2013,674,Paul Byron,CGY,C,"$585,000 ",1 (2012),"$585,000 "
2012 - 2013,675,Jake Muzzin,LAK,D,"$577,500 ",1 (2012),"$577,500 "
2012 - 2013,675,Keith Aulie,TBL,D,"$577,500 ",1 (2012),"$577,500 "
2012 - 2013,677,Andrei Loktionov,NJD,C,"$575,000 ",1 (2012),"$575,000 "
2012 - 2013,677,Andrew MacDonald,NYI,D,"$575,000 ",1 (2012),"$575,000 "
2012 - 2013,677,Brandon Bollig,CHI,C,"$575,000 ",1 (2012),"$575,000 "
2012 - 2013,677,Michael Stone,ARI,D,"$575,000 ",1 (2012),"$575,000 "
2012 - 2013,677,Trevor Smith,PIT,LW,"$575,000 ",1 (2012),"$575,000 "
2012 - 2013,682,Andrew Shaw,CHI,C,"$565,000 ",1 (2012),"$565,000 "
2012 - 2013,683,Ondrej Palat,TBL,LW,"$562,500 ",1 (2012),"$562,500 "
2012 - 2013,684,Andrew Gordon,VAN,RW,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,Cody Eakin,DAL,C,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,David Schlemko,ARI,D,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,Joey MacDonald,CGY,G,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,Mark Olver,COL,C,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,Matt Kassian,OTT,LW,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,Paul Postma,WPG,D,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,Ryan Garbutt,DAL,C,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,684,TJ Brennan,FLA,D,"$550,000 ",1 (2012),"$550,000 "
2012 - 2013,693,Eric Boulton,NYI,LW,"$540,000 ",1 (2012),"$540,000 "
2012 - 2013,693,Jordan Nolan,LAK,C,"$540,000 ",1 (2012),"$540,000 "
2012 - 2013,695,Adam Henrique,NJD,C,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Ben Lovejoy,ANA,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Bobby Butler,NSH,RW,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Brian Lashoff,DET,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Cory Emmerton,DET,C,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Deryk Engelland,PIT,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Eric Gryba,OTT,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Joe Vitale,PIT,C,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Jordie Benn,DAL,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Justin Peters,CAR,G,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Kevin Porter,BUF,C,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Patrick Bordeleau,COL,LW,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Pierre-Cedric Labrie,TBL,LW,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Rich Clune,NSH,LW,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Robert Bortuzzo,PIT,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Stephen Gionta,NJD,LW,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Steve Begin,CGY,LW,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Steve Oleksy,WSH,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,TJ Brodie,CGY,D,"$525,000 ",1 (2012),"$525,000 "
2012 - 2013,695,Zac Rinaldo,PHI,C,"$525,000 ",1 (2012),"$525,000 "
2011 - 2012,1,Brad Richards,NYR,C,"$12,000,000 ",1 (2011),"$12,000,000 "
2011 - 2012,2,Christian Ehrhoff,BUF,D,"$10,000,000 ",1 (2011),"$10,000,000 "
2011 - 2012,2,Ilya Bryzgalov,PHI,G,"$10,000,000 ",1 (2011),"$10,000,000 "
2011 - 2012,2,Vincent Lecavalier,TBL,C,"$10,000,000 ",1 (2011),"$10,000,000 "
2011 - 2012,5,Alex Ovechkin,WSH,LW,"$9,000,000 ",1 (2011),"$9,000,000 "
2011 - 2012,5,Evgeni Malkin,PIT,C,"$9,000,000 ",1 (2011),"$9,000,000 "
2011 - 2012,5,Sidney Crosby,PIT,C,"$9,000,000 ",1 (2011),"$9,000,000 "
2011 - 2012,8,Zdeno Chara,BOS,D,"$8,500,000 ",1 (2011),"$8,500,000 "
2011 - 2012,9,Dany Heatley,MIN,LW,"$8,000,000 ",1 (2011),"$8,000,000 "
2011 - 2012,9,Duncan Keith,CHI,D,"$8,000,000 ",1 (2011),"$8,000,000 "
2011 - 2012,9,Jason Spezza,OTT,C,"$8,000,000 ",1 (2011),"$8,000,000 "
2011 - 2012,9,Joe Thornton,SJS,C,"$8,000,000 ",1 (2011),"$8,000,000 "
2011 - 2012,9,Steven Stamkos,TBL,C,"$8,000,000 ",1 (2011),"$8,000,000 "
2011 - 2012,14,Marian Hossa,CHI,RW,"$7,900,000 ",1 (2011),"$7,900,000 "
2011 - 2012,15,Eric Staal,CAR,C,"$7,750,000 ",1 (2011),"$7,750,000 "
2011 - 2012,15,Henrik Zetterberg,DET,C,"$7,750,000 ",1 (2011),"$7,750,000 "
2011 - 2012,17,Chris Pronger,PHI,D,"$7,600,000 ",1 (2011),"$7,600,000 "
2011 - 2012,18,Marian Gaborik,NYR,RW,"$7,500,000 ",1 (2011),"$7,500,000 "
2011 - 2012,18,Rick Nash,CBJ,RW,"$7,500,000 ",1 (2011),"$7,500,000 "
2011 - 2012,18,Scott Gomez,MTL,C,"$7,500,000 ",1 (2011),"$7,500,000 "
2011 - 2012,18,Shea Weber,NSH,D,"$7,500,000 ",1 (2011),"$7,500,000 "
2011 - 2012,22,Mikko Koivu,MIN,C,"$7,290,000 ",1 (2011),"$7,290,000 "
2011 - 2012,23,Brian Campbell,FLA,D,"$7,142,857 ",1 (2011),"$7,142,857 "
2011 - 2012,24,Brent Seabrook,CHI,D,"$7,000,000 ",1 (2011),"$7,000,000 "
2011 - 2012,24,Daniel Briere,PHI,C,"$7,000,000 ",1 (2011),"$7,000,000 "
2011 - 2012,24,Jack Johnson,CBJ,D,"$7,000,000 ",1 (2011),"$7,000,000 "
2011 - 2012,24,James Wisniewski,CBJ,D,"$7,000,000 ",1 (2011),"$7,000,000 "
2011 - 2012,24,Jarome Iginla,CGY,RW,"$7,000,000 ",1 (2011),"$7,000,000 "
2011 - 2012,24,Kevin Bieksa,VAN,D,"$7,000,000 ",1 (2011),"$7,000,000 "
2011 - 2012,30,Patrick Marleau,SJS,C,"$6,900,000 ",1 (2011),"$6,900,000 "
2011 - 2012,31,Henrik Lundqvist,NYR,G,"$6,875,000 ",1 (2011),"$6,875,000 "
2011 - 2012,32,Roberto Luongo,VAN,G,"$6,716,000 ",1 (2011),"$6,716,000 "
2011 - 2012,33,Alexander Semin,WSH,LW,"$6,700,000 ",1 (2011),"$6,700,000 "
2011 - 2012,33,Pavel Datsyuk,DET,C,"$6,700,000 ",1 (2011),"$6,700,000 "
2011 - 2012,35,Dan Boyle,SJS,D,"$6,666,667 ",1 (2011),"$6,666,667 "
2011 - 2012,36,Jay Bouwmeester,CGY,D,"$6,600,000 ",1 (2011),"$6,600,000 "
2011 - 2012,36,Mike Cammalleri,CGY,LW,"$6,600,000 ",1 (2011),"$6,600,000 "
2011 - 2012,36,Mike Richards,LAK,C,"$6,600,000 ",1 (2011),"$6,600,000 "
2011 - 2012,36,Paul Stastny,COL,C,"$6,600,000 ",1 (2011),"$6,600,000 "
2011 - 2012,40,Brooks Laich,WSH,C,"$6,500,000 ",1 (2011),"$6,500,000 "
2011 - 2012,40,Dion Phaneuf,TOR,D,"$6,500,000 ",1 (2011),"$6,500,000 "
2011 - 2012,40,Shawn Horcoff,EDM,C,"$6,500,000 ",1 (2011),"$6,500,000 "
2011 - 2012,43,Anze Kopitar,LAK,C,"$6,400,000 ",1 (2011),"$6,400,000 "
2011 - 2012,43,Thomas Vanek,BUF,LW,"$6,400,000 ",1 (2011),"$6,400,000 "
2011 - 2012,45,Cam Ward,CAR,G,"$6,300,000 ",1 (2011),"$6,300,000 "
2011 - 2012,46,Ryan Miller,BUF,G,"$6,250,000 ",1 (2011),"$6,250,000 "
2011 - 2012,47,Nicklas Lidstrom,DET,D,"$6,200,000 ",1 (2011),"$6,200,000 "
2011 - 2012,48,Daniel Sedin,VAN,LW,"$6,100,000 ",1 (2011),"$6,100,000 "
2011 - 2012,48,Henrik Sedin,VAN,C,"$6,100,000 ",1 (2011),"$6,100,000 "
2011 - 2012,50,Drew Doughty,LAK,D,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Erik Cole,MTL,RW,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Ilya Kovalchuk,NJD,LW,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Jeff Carter,LAK,C,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Jonathan Toews,CHI,C,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Martin Erat,NSH,RW,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Miikka Kiprusoff,CGY,G,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Nicklas Backstrom,WSH,C,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Niklas Backstrom,MIN,G,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Patrick Kane,CHI,RW,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Phil Kessel,TOR,C,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Ville Leino,BUF,RW,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,50,Zach Parise,NJD,LW,"$6,000,000 ",1 (2011),"$6,000,000 "
2011 - 2012,63,Patrice Bergeron,BOS,C,"$5,900,000 ",1 (2011),"$5,900,000 "
2011 - 2012,64,Andrei Markov,MTL,D,"$5,750,000 ",1 (2011),"$5,750,000 "
2011 - 2012,64,Ryan Getzlaf,ANA,C,"$5,750,000 ",1 (2011),"$5,750,000 "
2011 - 2012,66,Bobby Ryan,ANA,LW,"$5,562,500 ",1 (2011),"$5,562,500 "
2011 - 2012,67,Jason Pominville,BUF,RW,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Marc-Andre Fleury,PIT,G,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Martin St. Louis,TBL,RW,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Mike Komisarek,TOR,D,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Paul Martin,PIT,D,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Ryan Malone,TBL,LW,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Sergei Gonchar,OTT,D,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,67,Tim Connolly,TOR,C,"$5,500,000 ",1 (2011),"$5,500,000 "
2011 - 2012,75,Corey Perry,ANA,F,"$5,375,000 ",1 (2011),"$5,375,000 "
2011 - 2012,76,Johan Franzen,DET,C,"$5,250,000 ",1 (2011),"$5,250,000 "
2011 - 2012,77,Martin Brodeur,NJD,G,"$5,200,000 ",1 (2011),"$5,200,000 "
2011 - 2012,78,Ales Hemsky,EDM,RW,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Brian Gionta,MTL,RW,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Brian Rolston,BOS,RW,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Dan Hamhuis,VAN,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Kimmo Timonen,PHI,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Lubomir Visnovsky,ANA,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Martin Havlat,SJS,RW,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Mike Green,WSH,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Mike Ribeiro,DAL,C,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Patrik Elias,NJD,LW,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Ron Hainsey,WPG,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Ryan Kesler,VAN,C,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Ryan Whitney,EDM,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Tim Thomas,BOS,G,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Tom Gilbert,MIN,D,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,78,Tomas Plekanec,MTL,C,"$5,000,000 ",1 (2011),"$5,000,000 "
2011 - 2012,94,Keith Yandle,ARI,D,"$4,750,000 ",1 (2011),"$4,750,000 "
2011 - 2012,94,Kristian Huselius,CBJ,LW,"$4,750,000 ",1 (2011),"$4,750,000 "
2011 - 2012,96,Luke Schenn,TOR,D,"$4,600,000 ",1 (2011),"$4,600,000 "
2011 - 2012,96,Mark Giordano,CGY,D,"$4,600,000 ",1 (2011),"$4,600,000 "
2011 - 2012,96,Steve Montador,CHI,D,"$4,600,000 ",1 (2011),"$4,600,000 "
2011 - 2012,99,John-Michael Liles,TOR,D,"$4,550,000 ",1 (2011),"$4,550,000 "
2011 - 2012,99,Shane Doan,ARI,RW,"$4,550,000 ",1 (2011),"$4,550,000 "
2011 - 2012,101,Daniel Alfredsson,OTT,RW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,David Backes,STL,RW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,David Booth,VAN,LW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,David Legwand,NSH,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Daymond Langkow,ARI,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Dennis Wideman,WSH,D,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Derek Roy,BUF,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Jonas Hiller,ANA,G,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Joni Pitkanen,CAR,D,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Jordan Staal,PIT,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Matt Stajan,CGY,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Milan Michalek,OTT,LW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Nathan Horton,BOS,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,R.J. Umberger,CBJ,LW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Rick DiPietro,NYI,G,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Ryan Smyth,EDM,LW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Simon Gagne,LAK,LW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Tomas Fleischmann,FLA,LW,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,101,Travis Zajac,NJD,C,"$4,500,000 ",1 (2011),"$4,500,000 "
2011 - 2012,120,Tuomo Ruutu,CAR,RW,"$4,400,000 ",1 (2011),"$4,400,000 "
2011 - 2012,121,Andrej Sekera,BUF,D,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,121,Anton Volchenkov,NJD,D,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,121,Dustin Byfuglien,WPG,D,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,121,Dustin Penner,LAK,LW,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,121,Joffrey Lupul,TOR,RW,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,121,Nik Antropov,WPG,C,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,121,Pierre-Marc Bouchard,MIN,RW,"$4,250,000 ",1 (2011),"$4,250,000 "
2011 - 2012,128,Andy McDonald,STL,C,"$4,200,000 ",1 (2011),"$4,200,000 "
2011 - 2012,128,Keith Ballard,VAN,D,"$4,200,000 ",1 (2011),"$4,200,000 "
2011 - 2012,128,Patrick Sharp,CHI,LW,"$4,200,000 ",1 (2011),"$4,200,000 "
2011 - 2012,131,Brenden Morrow,DAL,LW,"$4,100,000 ",1 (2011),"$4,100,000 "
2011 - 2012,131,Loui Eriksson,DAL,LW,"$4,100,000 ",1 (2011),"$4,100,000 "
2011 - 2012,131,Mark Streit,NYI,D,"$4,100,000 ",1 (2011),"$4,100,000 "
2011 - 2012,134,Andrej Meszaros,PHI,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Andrew Ladd,WPG,LW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Brad Boyes,BUF,RW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Brent Burns,SJS,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Chris Kunitz,PIT,LW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,David Krejci,BOS,C,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Drew Stafford,BUF,RW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Ed Jovanovski,FLA,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Joe Pavelski,SJS,C,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Johnny Oduya,CHI,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Marek Zidlicky,NJD,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Mike Fisher,NSH,C,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Milan Lucic,BOS,LW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Pekka Rinne,NSH,G,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Rene Bourque,MTL,LW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Robyn Regehr,BUF,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Ryan Callahan,NYR,RW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Teemu Selanne,ANA,RW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Toby Enstrom,WPG,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Tomas Kaberle,MTL,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Wojtek Wolski,FLA,LW,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,134,Zbynek Michalek,PIT,D,"$4,000,000 ",1 (2011),"$4,000,000 "
2011 - 2012,156,Justin Williams,LAK,RW,"$3,900,000 ",1 (2011),"$3,900,000 "
2011 - 2012,157,Jaroslav Spacek,CAR,D,"$3,833,333 ",1 (2011),"$3,833,333 "
2011 - 2012,158,Matthew Carle,PHI,D,"$3,800,000 ",1 (2011),"$3,800,000 "
2011 - 2012,159,Antoine Vermette,ARI,C,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,159,Brad Stuart,DET,D,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,159,Brandon Dubinsky,NYR,C,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,159,Brooks Orpik,PIT,D,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,159,Eric Brewer,TBL,D,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,159,Niklas Kronwall,DET,D,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,159,Nikolai Khabibulin,EDM,G,"$3,750,000 ",1 (2011),"$3,750,000 "
2011 - 2012,166,Filip Kuba,OTT,D,"$3,700,000 ",1 (2011),"$3,700,000 "
2011 - 2012,166,Kari Lehtonen,DAL,G,"$3,700,000 ",1 (2011),"$3,700,000 "
2011 - 2012,166,Scott Hartnell,PHI,LW,"$3,700,000 ",1 (2011),"$3,700,000 "
2011 - 2012,169,Marc Staal,NYR,D,"$3,675,000 ",1 (2011),"$3,675,000 "
2011 - 2012,170,Francois Beauchemin,ANA,D,"$3,650,000 ",1 (2011),"$3,650,000 "
2011 - 2012,171,Nick Schultz,EDM,D,"$3,600,000 ",1 (2011),"$3,600,000 "
2011 - 2012,172,Alexander Steen,STL,C,"$3,566,667 ",1 (2011),"$3,566,667 "
2011 - 2012,173,Stephane Robidas,DAL,D,"$3,550,000 ",1 (2011),"$3,550,000 "
2011 - 2012,174,Alex Tanguay,CGY,LW,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Barret Jackman,STL,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Dustin Brown,LAK,RW,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,James Neal,PIT,LW,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Jaroslav Halak,STL,G,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Kris Letang,PIT,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Marc-Edouard Vlasic,SJS,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Matt Cullen,MIN,C,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Matthew Lombardi,TOR,C,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Michael Ryder,DAL,RW,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Niklas Hjalmarsson,CHI,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Pavel Kubina,PHI,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Roman Hamrlik,WSH,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Ryan Suter,NSH,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Ryane Clowe,SJS,LW,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Scottie Upshall,FLA,RW,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Tim Gleason,CAR,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Trevor Daley,DAL,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Valtteri Filppula,DET,C,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,174,Willie Mitchell,LAK,D,"$3,500,000 ",1 (2011),"$3,500,000 "
2011 - 2012,194,Fedor Tyutin,CBJ,D,"$3,425,000 ",1 (2011),"$3,425,000 "
2011 - 2012,195,Braydon Coburn,PHI,D,"$3,400,000 ",1 (2011),"$3,400,000 "
2011 - 2012,195,Dainius Zubrus,NJD,C,"$3,400,000 ",1 (2011),"$3,400,000 "
2011 - 2012,195,Dan Girardi,NYR,D,"$3,400,000 ",1 (2011),"$3,400,000 "
2011 - 2012,195,Jarret Stoll,LAK,C,"$3,400,000 ",1 (2011),"$3,400,000 "
